DIRECTORIO,SECUENCIA_P,ORDEN,P6040,CLASE,DPTO,INGLABO
7902278,1,2,58,1,25,800000
7902278,1,3,29,1,25,1300000
7902278,1,4,10,1,25,NA
7902281,1,1,32,1,25,1300000
7902281,1,2,31,1,25,1300000
7902281,1,3,14,1,25,NA
7902281,1,4,6,1,25,NA
7902282,1,1,48,1,25,NA
7902282,1,2,55,1,25,1600000
7902282,1,3,17,1,25,NA
7902282,1,4,7,1,25,NA
7902283,1,1,28,1,25,NA
7902283,1,2,26,1,25,1500000
7902284,1,1,67,1,25,NA
7902284,1,2,42,1,25,2600000
7902284,1,3,44,1,25,1000000
7902284,1,4,9,1,25,NA
7902284,1,5,18,1,25,NA
7902286,1,1,75,1,25,NA
7902286,1,2,74,1,25,NA
7902286,1,3,51,1,25,1300000
7902286,1,4,12,1,25,NA
7902286,1,5,44,1,25,1300000
7902286,1,6,21,1,25,1300000
7902287,1,1,69,1,25,NA
7902287,1,2,59,1,25,NA
7902289,1,1,37,1,25,1300000
7902289,1,2,16,1,25,NA
7902289,1,3,10,1,25,NA
7902290,1,1,45,1,25,1600000
7902290,1,2,45,1,25,NA
7902290,1,3,19,1,25,NA
7902290,1,4,11,1,25,NA
7902292,1,1,69,1,25,NA
7902292,1,2,33,1,25,NA
7902293,1,1,57,1,25,500000
7902294,1,1,63,1,25,NA
7902294,1,2,59,1,25,NA
7902294,1,3,16,1,25,NA
7902295,1,1,47,1,25,500000
7902295,1,2,56,1,25,120000
7902295,1,3,25,1,25,800000
7902295,1,4,26,1,25,1000000
7902295,1,5,5,1,25,NA
7902295,1,6,2,1,25,NA
7902295,1,7,21,1,25,NA
7902295,1,8,19,1,25,300000
7902295,1,9,1,1,25,NA
7902295,1,10,5,1,25,NA
7902296,1,1,44,1,25,1300000
7902296,1,2,25,1,25,1300000
7902296,1,3,8,1,25,NA
7902297,1,1,44,1,25,1300000
7902297,1,2,15,1,25,NA
7902297,1,3,24,1,25,480000
7902297,1,4,4,1,25,NA
7902299,1,1,31,1,25,1300000
7902299,1,2,20,1,25,NA
7902300,1,1,59,1,25,1300000
7902300,1,2,31,1,25,NA
7902300,1,3,56,1,25,400000
7902301,1,1,28,1,25,1300000
7902301,1,2,30,1,25,1000000
7902303,1,1,41,1,27,NA
7902303,1,2,19,1,27,NA
7902303,1,3,12,1,27,NA
7902303,1,4,22,1,27,NA
7902305,1,1,54,1,27,NA
7902305,1,2,6,1,27,NA
7902305,1,3,5,1,27,NA
7902305,1,4,2,1,27,NA
7902307,1,1,43,1,27,2800000
7902307,1,2,43,1,27,2500000
7902308,1,1,49,1,27,1800000
7902308,1,2,32,1,27,NA
7902308,1,3,13,1,27,NA
7902308,1,4,13,1,27,NA
7902309,1,1,29,1,27,0
7902309,1,2,28,1,27,NA
7902309,1,3,7,1,27,NA
7902309,1,4,7,1,27,NA
7902314,1,1,77,1,27,2000000
7902316,1,1,19,1,27,NA
7902317,1,1,30,1,27,NA
7902317,1,2,31,1,27,900000
7902317,1,3,13,1,27,NA
7902318,1,1,47,1,27,NA
7902318,1,2,26,1,27,NA
7902318,1,3,25,1,27,1400000
7902318,1,4,2,1,27,NA
7902318,1,5,25,1,27,NA
7902321,1,1,34,1,27,NA
7902321,1,2,35,1,27,2000000
7902321,1,3,3,1,27,NA
7902322,1,1,80,1,27,NA
7902322,1,2,40,1,27,NA
7902322,1,3,20,1,27,NA
7902322,1,4,85,1,27,NA
7902322,1,5,28,1,27,NA
7902323,1,1,64,1,27,3000000
7902323,1,2,63,1,27,3000000
7902323,1,3,31,1,27,2000000
7902324,1,1,66,1,27,NA
7902324,1,2,39,1,27,1500000
7902324,1,3,13,1,27,NA
7902324,1,4,20,1,27,NA
7902327,1,1,39,1,27,NA
7902327,1,2,13,1,27,NA
7902327,1,3,11,1,27,NA
7902329,1,1,40,1,27,2000000
7902329,1,2,33,1,27,1100000
7902329,1,3,11,1,27,NA
7902330,1,1,56,1,27,3000000
7902330,1,2,27,1,27,NA
7902330,1,3,22,1,27,NA
7902335,1,1,25,1,27,NA
7902336,1,1,68,1,27,NA
7902336,1,2,74,1,27,NA
7902337,1,1,49,1,27,NA
7902337,1,2,13,1,27,NA
7902337,1,3,8,1,27,NA
7902338,1,1,31,1,27,2600000
7902338,1,2,26,1,27,NA
7902339,1,1,52,1,27,2700000
7902339,1,2,64,1,27,2500000
7902339,1,3,24,1,27,5500000
7902339,1,4,14,1,27,NA
7902339,1,5,14,1,27,NA
7902340,1,1,72,1,27,NA
7902341,1,1,55,1,27,4000000
7902341,1,2,68,1,27,3000000
7902342,1,1,36,1,27,NA
7902342,1,2,66,1,27,NA
7902345,1,1,66,1,27,3850000
7902345,1,2,25,1,27,760000
7902346,1,1,29,1,27,NA
7902346,1,2,25,1,27,1300000
7902347,1,1,21,1,27,NA
7902348,1,1,32,1,27,1300000
7902348,1,2,43,1,27,1600000
7902348,1,3,21,1,27,NA
7902348,1,4,11,1,27,NA
7902348,1,5,5,1,27,NA
7902349,1,1,37,1,27,2000000
7902350,1,1,60,1,27,3500000
7902357,1,1,39,1,27,NA
7902357,1,2,34,1,27,NA
7902357,1,3,12,1,27,NA
7902357,1,4,5,1,27,NA
7902361,1,1,48,1,27,3000000
7902361,1,2,10,1,27,NA
7902362,1,1,80,1,27,NA
7902362,1,2,44,1,27,1000000
7902362,1,3,11,1,27,NA
7902362,1,4,15,1,27,NA
7902364,1,1,55,1,27,NA
7902364,1,2,24,1,27,NA
7902364,1,3,34,1,27,NA
7902364,1,4,15,1,27,NA
7902364,1,5,12,1,27,NA
7902364,1,6,10,1,27,NA
7902365,1,1,61,1,27,NA
7902366,1,1,54,1,27,NA
7902367,1,1,33,1,27,NA
7902367,1,2,24,1,27,NA
7902370,1,1,58,1,41,6500000
7902370,1,2,23,1,41,2000000
7902370,1,3,21,1,41,NA
7902372,1,1,64,1,41,2800000
7902372,1,2,34,1,41,4000000
7902372,1,3,30,1,41,1800000
7902374,1,1,30,1,41,NA
7902374,1,2,34,1,41,1300000
7902374,1,3,12,1,41,NA
7902375,1,1,43,1,41,1762000
7902375,1,2,42,1,41,NA
7902375,1,3,16,1,41,NA
7902375,1,4,11,1,41,NA
7902376,1,1,59,1,41,900000
7902376,1,2,55,1,41,1000000
7902376,1,3,25,1,41,2000000
7902376,1,4,30,1,41,1300000
7902377,1,1,49,1,41,1200000
7902377,1,2,27,1,41,1462000
7902377,1,3,25,1,41,NA
7902377,1,4,23,1,41,1662000
7902379,1,1,32,1,41,1300000
7902379,1,2,35,1,41,1662000
7902379,1,3,9,1,41,NA
7902379,1,4,3,1,41,NA
7902380,1,1,59,1,41,NA
7902380,1,2,26,1,41,1562000
7902380,1,3,27,1,41,1462000
7902380,1,4,9,1,41,NA
7902380,1,5,1,1,41,NA
7902383,1,1,32,1,41,1300000
7902383,1,2,21,1,41,NA
7902383,1,3,3,1,41,NA
7902383,1,4,1,1,41,NA
7902385,1,1,32,1,41,1350000
7902385,1,2,13,1,41,NA
7902385,1,3,8,1,41,NA
7902385,1,4,29,1,41,480000
7902385,1,5,13,1,41,NA
7902385,1,6,10,1,41,NA
7902386,1,1,30,1,41,1700000
7902386,1,2,30,1,41,NA
7902386,1,3,11,1,41,NA
7902386,1,4,9,1,41,NA
7902386,1,5,1,1,41,NA
7902388,1,1,57,1,41,NA
7902388,1,2,37,1,41,1200000
7902388,1,3,14,1,41,NA
7902388,1,4,10,1,41,NA
7902390,1,1,50,1,41,600000
7902390,1,2,40,1,41,600000
7902391,1,1,39,1,41,NA
7902391,1,2,43,1,41,1100000
7902394,1,1,40,1,41,1200000
7902394,1,2,37,1,41,1200000
7902394,1,3,16,1,41,NA
7902394,1,4,14,1,41,NA
7902394,1,5,11,1,41,NA
7902394,1,6,10,1,41,NA
7902396,1,1,38,1,41,NA
7902396,1,2,34,1,41,1562000
7902396,1,3,18,1,41,NA
7902396,1,4,16,1,41,NA
7902396,1,5,13,1,41,NA
7902397,1,1,71,1,41,200000
7902397,1,2,63,1,41,480000
7902398,1,1,55,1,41,1000000
7902398,1,2,54,1,41,NA
7902398,1,3,27,1,41,NA
7902398,1,4,5,1,41,NA
7902399,1,1,74,1,41,2000000
7902399,1,2,64,1,41,NA
7902400,1,1,52,1,41,800000
7902400,1,2,32,1,41,1000000
7902400,1,3,12,1,41,NA
7902400,1,4,11,1,41,NA
7902400,1,5,9,1,41,NA
7902402,1,1,37,1,41,1400000
7902402,1,2,14,1,41,NA
7902402,1,3,10,1,41,NA
7902403,1,1,36,1,41,1200000
7902403,1,2,17,1,41,NA
7902403,1,3,15,1,41,NA
7902403,1,4,14,1,41,NA
7902403,1,5,11,1,41,NA
7902404,1,1,65,1,41,NA
7902404,1,2,71,1,41,NA
7902406,1,1,78,1,41,2000000
7902406,1,2,73,1,41,NA
7902406,1,3,49,1,41,1900000
7902406,1,4,22,1,41,1350000
7902407,1,1,62,1,41,1000000
7902407,1,2,57,1,41,NA
7902407,1,3,22,1,41,NA
7902408,1,1,58,1,41,600000
7902409,1,1,43,1,41,1350000
7902409,1,2,41,1,41,NA
7902409,1,3,2,1,41,NA
7902409,1,4,1,1,41,NA
7902411,1,1,73,1,44,300000
7902412,1,1,36,1,44,NA
7902412,1,2,18,1,44,NA
7902412,1,3,13,1,44,NA
7902413,1,1,60,1,44,2000000
7902413,1,2,51,1,44,NA
7902413,1,3,18,1,44,NA
7902413,1,4,6,1,44,NA
7902414,1,1,42,1,44,NA
7902414,1,2,51,1,44,NA
7902414,1,3,38,1,44,850000
7902415,1,1,70,1,44,NA
7902416,1,1,41,1,44,2000000
7902416,1,2,23,1,44,NA
7902416,1,3,17,1,44,NA
7902416,1,4,21,1,44,NA
7902417,1,1,62,1,44,420000
7902417,1,2,15,1,44,NA
7902418,1,1,38,1,44,NA
7902420,1,1,41,1,44,1200000
7902420,1,2,53,1,44,1200000
7902420,1,3,20,1,44,NA
7902420,1,4,14,1,44,NA
7902422,1,1,33,1,44,600000
7902423,1,1,40,1,44,NA
7902423,1,2,32,1,44,300000
7902423,1,3,15,1,44,NA
7902423,1,4,14,1,44,NA
7902424,1,1,96,1,44,NA
7902424,1,2,62,1,44,NA
7902424,1,3,61,1,44,NA
7902425,1,1,27,1,44,1800000
7902425,1,2,25,1,44,NA
7902425,1,3,5,1,44,NA
7902425,1,4,1,1,44,NA
7902426,1,1,33,1,44,2500000
7902426,1,2,29,1,44,NA
7902426,1,3,9,1,44,NA
7902426,1,4,4,1,44,NA
7902427,1,1,54,1,44,NA
7902427,1,2,15,1,44,NA
7902427,1,3,16,1,44,NA
7902427,1,4,0,1,44,NA
7902428,1,1,67,1,44,1500000
7902428,1,2,47,1,44,NA
7902429,1,1,55,1,44,1300000
7902429,1,2,25,1,44,NA
7902429,1,3,21,1,44,NA
7902429,1,4,83,1,44,NA
7902430,1,1,43,1,44,4000000
7902430,1,2,44,1,44,NA
7902430,1,3,26,1,44,NA
7902430,1,4,19,1,44,NA
7902430,1,5,14,1,44,NA
7902431,1,1,50,1,44,NA
7902431,1,2,22,1,44,NA
7902431,1,3,19,1,44,NA
7902432,1,1,34,1,44,4000000
7902433,1,1,58,1,44,NA
7902435,1,1,40,1,44,1600000
7902435,1,2,9,1,44,NA
7902435,1,3,3,1,44,NA
7902436,1,1,47,1,44,4100000
7902436,1,2,40,1,44,NA
7902436,1,3,14,1,44,NA
7902438,1,1,48,1,44,NA
7902438,1,2,91,1,44,NA
7902439,1,1,59,1,44,8800000
7902439,1,2,47,1,44,NA
7902439,1,3,25,1,44,NA
7902439,1,4,14,1,44,NA
7902440,1,1,41,1,44,1300000
7902440,1,2,18,1,44,NA
7902440,1,3,12,1,44,NA
7902440,1,4,75,1,44,NA
7902443,1,1,41,1,44,300000
7902443,1,2,14,1,44,NA
7902443,1,3,10,1,44,NA
7902443,1,4,3,1,44,NA
7902443,1,5,2,1,44,NA
7902444,1,1,35,1,44,3800000
7902444,1,2,30,1,44,NA
7902445,1,1,29,1,44,0
7902445,1,2,23,1,44,NA
7902445,1,3,30,1,44,700000
7902445,1,4,5,1,44,NA
7902446,1,1,70,1,44,NA
7902446,1,2,49,1,44,NA
7902446,1,3,20,1,44,NA
7902446,1,4,46,1,44,NA
7902446,1,5,30,1,44,NA
7902446,1,6,6,1,44,NA
7902446,1,7,2,1,44,NA
7902448,1,1,77,1,44,NA
7902449,1,1,58,1,44,120000
7902449,1,2,37,1,44,200000
7902450,1,1,82,1,44,NA
7902450,1,2,88,1,44,NA
7902452,1,1,71,1,44,NA
7902452,1,2,72,1,44,NA
7902452,1,3,35,1,44,NA
7902454,1,1,75,1,44,NA
7902454,1,2,68,1,44,NA
7902454,1,3,8,1,44,NA
7902455,1,1,31,1,44,1500000
7902455,1,2,29,1,44,NA
7902455,1,3,10,1,44,NA
7902456,1,1,62,1,44,6000000
7902456,1,2,36,1,44,NA
7902457,1,1,49,1,44,1300000
7902457,1,2,62,1,44,560000
7902457,1,3,20,1,44,NA
7902457,1,4,18,1,44,NA
7902457,1,5,20,1,44,300000
7902458,1,1,21,1,44,NA
7902458,1,2,18,1,44,NA
7902459,1,1,41,1,44,NA
7902459,1,2,45,1,44,1800000
7902459,1,3,12,1,44,NA
7902459,1,4,10,1,44,NA
7902460,1,1,35,1,44,NA
7902460,1,2,27,1,44,NA
7902460,1,3,4,1,44,NA
7902460,1,4,1,1,44,NA
7902460,1,5,13,1,44,NA
7902462,1,1,56,1,44,NA
7902462,1,2,47,1,44,NA
7902462,1,3,21,1,44,NA
7902462,1,4,19,1,44,NA
7902462,1,5,13,1,44,NA
7902463,1,1,52,1,44,1000000
7902464,1,1,74,1,44,1000000
7902464,1,2,27,1,44,1450000
7902464,1,3,6,1,44,NA
7902465,1,1,69,1,44,NA
7902466,1,1,70,1,44,NA
7902467,1,1,30,1,44,3400000
7902467,1,2,28,1,44,200000
7902467,1,3,9,1,44,NA
7902468,1,1,56,1,44,2450000
7902469,1,1,53,1,44,450000
7902469,1,2,30,1,44,750000
7902469,1,3,3,1,44,NA
7902470,1,1,76,1,44,NA
7902470,1,2,73,1,44,NA
7902470,1,3,49,1,44,3500000
7902470,1,4,16,1,44,NA
7902471,1,1,59,1,44,5500000
7902471,1,2,55,1,44,NA
7902472,1,1,56,1,44,2000000
7902472,1,2,84,1,44,NA
7902473,1,1,62,1,44,5500000
7902474,1,1,30,1,44,900000
7902474,1,2,30,1,44,1200000
7902475,1,1,62,1,44,750000
7902476,1,1,26,1,44,900000
7902477,1,1,59,1,44,600000
7902477,1,2,41,1,44,NA
7902477,1,3,26,1,44,750000
7902477,1,4,38,1,44,NA
7902477,1,5,31,1,44,NA
7902477,1,6,11,1,44,NA
7902477,1,7,10,1,44,NA
7902477,1,8,35,1,44,NA
7902477,1,9,20,1,44,1050000
7902477,1,10,13,1,44,NA
7902477,1,11,29,1,44,1200000
7902477,1,12,28,1,44,NA
7902477,1,13,8,1,44,NA
7902477,1,14,1,1,44,NA
7902477,1,15,23,1,44,1200000
7902477,1,16,22,1,44,NA
7902477,1,17,3,1,44,NA
7902477,1,18,1,1,44,NA
7902478,1,1,47,1,44,7500000
7902478,1,2,42,1,44,NA
7902478,1,3,12,1,44,NA
7902478,1,4,3,1,44,NA
7902479,1,1,62,1,44,2800000
7902481,1,1,32,1,44,3800000
7902482,1,1,87,1,44,NA
7902483,1,1,86,1,44,NA
7902483,1,2,21,1,44,NA
7902484,1,1,30,1,44,NA
7902484,1,2,30,1,44,NA
7902484,1,3,2,1,44,NA
7902486,1,1,30,1,47,1200000
7902486,1,2,32,1,47,NA
7902486,1,3,16,1,47,NA
7902486,1,4,12,1,47,NA
7902486,1,5,11,1,47,NA
7902486,1,6,58,1,47,NA
7902487,1,1,42,1,47,2300000
7902487,1,2,36,1,47,NA
7902487,1,3,13,1,47,NA
7902487,1,4,8,1,47,NA
7902488,1,1,26,1,47,2200000
7902488,1,2,21,1,47,1800000
7902489,1,1,66,1,47,NA
7902489,1,2,65,1,47,NA
7902489,1,3,51,1,47,2500000
7902489,1,4,25,1,47,1300000
7902490,1,1,32,1,47,2000000
7902490,1,2,32,1,47,1300000
7902490,1,3,14,1,47,NA
7902490,1,4,11,1,47,NA
7902490,1,5,4,1,47,NA
7902491,1,1,29,1,47,2000000
7902491,1,2,31,1,47,3000000
7902491,1,3,3,1,47,NA
7902492,1,1,66,1,47,NA
7902492,1,2,65,1,47,NA
7902493,1,1,23,1,47,1200000
7902494,1,1,74,1,47,NA
7902494,1,2,70,1,47,NA
7902495,1,1,46,1,47,NA
7902495,1,2,57,1,47,2000000
7902495,1,3,12,1,47,NA
7902495,1,4,11,1,47,NA
7902495,1,5,6,1,47,NA
7902496,1,1,43,1,47,NA
7902496,1,2,59,1,47,NA
7902498,1,1,31,1,47,1300000
7902498,1,2,29,1,47,1300000
7902498,1,3,10,1,47,NA
7902498,1,4,7,1,47,NA
7902501,1,1,53,1,47,NA
7902501,1,2,54,1,47,600000
7902501,1,3,25,1,47,NA
7902501,1,4,23,1,47,NA
7902502,1,1,76,1,47,2600000
7902502,1,2,82,1,47,NA
7902504,1,1,66,1,47,NA
7902504,1,2,19,1,47,NA
7902504,1,3,20,1,47,1300000
7902505,1,1,75,1,47,NA
7902506,1,1,33,1,47,1500000
7902506,1,2,10,1,47,NA
7902506,1,3,2,1,47,NA
7902508,1,1,48,1,47,1300000
7902508,1,2,11,1,47,NA
7902510,1,1,47,1,47,NA
7902510,1,2,72,1,47,2780000
7902511,1,1,35,1,47,1500000
7902511,1,2,30,1,47,1300000
7902511,1,3,9,1,47,NA
7902511,1,4,0,1,47,NA
7902512,1,1,90,1,47,NA
7902513,1,1,63,1,47,3580000
7902513,1,2,65,1,47,NA
7902513,1,3,29,1,47,1300000
7902514,1,1,35,1,47,3600000
7902514,1,2,45,1,47,5000000
7902516,1,1,39,1,47,NA
7902516,1,2,37,1,47,NA
7902517,1,1,74,1,47,NA
7902519,1,1,68,1,47,800000
7902521,1,1,67,1,47,NA
7902521,1,2,48,1,47,NA
7902521,1,3,32,1,47,900000
7902521,1,4,26,1,47,500000
7902521,1,5,22,1,47,800000
7902521,1,6,10,1,47,NA
7902521,1,7,11,1,47,NA
7902521,1,8,9,1,47,NA
7902521,1,9,6,1,47,NA
7902521,1,10,6,1,47,NA
7902522,1,1,65,1,47,1300000
7902522,1,2,39,1,47,NA
7902522,1,3,87,1,47,NA
7902523,1,1,49,1,47,NA
7902523,1,2,50,1,47,400000
7902523,1,3,24,1,47,NA
7902523,1,4,7,1,47,NA
7902523,1,5,0,1,47,NA
7902523,1,6,28,1,47,NA
7902524,1,1,57,1,47,NA
7902524,1,2,57,1,47,NA
7902524,1,3,37,1,47,1500000
7902524,1,4,34,1,47,1200000
7902524,1,5,6,1,47,NA
7902524,1,6,25,1,47,NA
7902524,1,7,1,1,47,NA
7902525,1,1,54,1,47,600000
7902525,1,2,34,1,47,NA
7902525,1,3,4,1,47,NA
7902527,1,1,87,1,47,NA
7902527,1,2,77,1,47,NA
7902527,1,3,26,1,47,1600000
7902527,1,4,23,1,47,NA
7902528,1,1,36,1,47,1300000
7902528,1,2,36,1,47,NA
7902528,1,3,16,1,47,NA
7902529,1,1,50,1,47,1000000
7902529,1,2,45,1,47,1300000
7902529,1,3,26,1,47,1800000
7902529,1,4,22,1,47,NA
7902529,1,5,7,1,47,NA
7902530,1,1,49,1,47,NA
7902530,1,2,48,1,47,800000
7902530,1,3,24,1,47,NA
7902530,1,4,28,1,47,1300000
7902531,1,1,61,1,47,NA
7902531,1,2,54,1,47,1400000
7902531,1,3,31,1,47,NA
7902531,1,4,25,1,47,1300000
7902531,1,5,22,1,47,NA
7902532,1,1,54,1,47,1600000
7902532,1,2,32,1,47,NA
7902532,1,3,26,1,47,1460000
7902532,1,4,36,1,47,NA
7902532,1,5,4,1,47,NA
7902535,1,1,43,1,47,2200000
7902535,1,2,39,1,47,2100000
7902535,1,3,19,1,47,NA
7902535,1,4,15,1,47,NA
7902537,1,1,40,1,47,NA
7902537,1,2,37,1,47,2300000
7902537,1,3,22,1,47,NA
7902537,1,4,14,1,47,NA
7902539,1,1,53,1,47,NA
7902541,1,1,28,1,47,1000000
7902541,1,2,12,1,47,NA
7902541,1,3,11,1,47,NA
7902541,1,4,6,1,47,NA
7902541,1,5,1,1,47,NA
7902542,1,1,52,1,47,600000
7902542,1,2,51,1,47,NA
7902542,1,3,21,1,47,900000
7902543,1,1,32,1,47,1300000
7902543,1,2,39,1,47,2000000
7902543,1,3,11,1,47,NA
7902543,1,4,9,1,47,NA
7902544,1,1,50,1,47,1300000
7902544,1,2,25,1,47,1000000
7902544,1,3,23,1,47,NA
7902544,1,4,26,1,47,1600000
7902544,1,5,17,1,47,NA
7902544,1,6,1,1,47,NA
7902545,1,1,66,1,47,NA
7902545,1,2,61,1,47,700000
7902545,1,3,15,1,47,NA
7902545,1,4,12,1,47,NA
7902546,1,1,67,1,47,1200000
7902546,1,2,57,1,47,NA
7902546,1,3,25,1,47,1200000
7902546,1,4,23,1,47,1100000
7902546,1,5,19,1,47,NA
7902547,1,1,45,1,47,1300000
7902547,1,2,49,1,47,NA
7902547,1,3,23,1,47,NA
7902547,1,4,18,1,47,NA
7902548,1,1,27,1,47,1300000
7902548,1,2,26,1,47,720000
7902548,1,3,3,1,47,NA
7902549,1,1,34,1,47,NA
7902549,1,2,51,1,47,600000
7902549,1,3,14,1,47,NA
7902549,1,4,12,1,47,NA
7902549,1,5,11,1,47,NA
7902550,1,1,48,1,47,NA
7902550,1,2,44,1,47,1900000
7902550,1,3,11,1,47,NA
7902551,1,1,57,1,47,1800000
7902551,1,2,57,1,47,NA
7902551,1,3,38,1,47,NA
7902551,1,4,16,1,47,NA
7902551,1,5,7,1,47,NA
7902551,1,6,4,1,47,NA
7902552,1,1,27,1,47,NA
7902552,1,2,6,1,47,NA
7902553,1,1,71,1,47,NA
7902553,1,2,44,1,47,NA
7902558,1,1,33,1,47,NA
7902558,1,2,13,1,47,NA
7902559,1,1,45,1,47,150000
7902559,1,2,21,1,47,NA
7902559,1,3,27,1,47,1200000
7902560,1,1,59,1,47,NA
7902560,1,2,31,1,47,1600000
7902560,1,3,40,1,47,1600000
7902560,1,4,15,1,47,NA
7902560,1,5,9,1,47,NA
7902561,1,1,68,1,47,NA
7902561,1,2,38,1,47,1300000
7902561,1,3,10,1,47,NA
7902562,1,1,47,1,47,NA
7902562,1,2,50,1,47,1300000
7902562,1,3,22,1,47,1300000
7902562,1,4,24,1,47,1300000
7902562,1,5,4,1,47,NA
7902563,1,1,31,1,47,1900000
7902563,1,2,48,1,47,1500000
7902565,1,1,53,1,47,1200000
7902565,1,2,24,1,47,NA
7902565,1,3,36,1,47,1400000
7902567,1,1,60,1,47,2600000
7902567,1,2,66,1,47,1600000
7902567,1,3,81,1,47,NA
7902568,1,1,38,1,47,NA
7902568,1,2,39,1,47,900000
7902568,1,3,6,1,47,NA
7902568,1,4,67,1,47,NA
7902570,1,1,65,1,47,800000
7902570,1,2,42,1,47,1300000
7902571,1,1,46,1,47,1000000
7902573,1,1,70,1,47,1200000
7902574,1,1,63,1,47,NA
7902576,1,1,44,1,47,600000
7902576,1,2,21,1,47,300000
7902576,1,3,18,1,47,NA
7902577,1,1,56,1,47,NA
7902577,1,2,33,1,47,2000000
7902577,1,3,30,1,47,700000
7902577,1,4,27,1,47,900000
7902577,1,5,8,1,47,NA
7902577,1,6,5,1,47,NA
7902579,1,1,53,1,47,NA
7902579,1,2,20,1,47,NA
7902580,1,1,25,1,47,1300000
7902580,1,2,25,1,47,1300000
7902581,1,1,44,1,47,NA
7902581,1,2,53,1,47,3500000
7902581,1,3,15,1,47,NA
7902581,1,4,12,1,47,NA
7902582,1,1,79,1,47,NA
7902582,1,2,75,1,47,NA
7902582,1,3,42,1,47,200000
7902582,1,4,47,1,47,1300000
7902583,1,1,59,1,47,NA
7902584,1,1,57,1,47,6259988
7902584,1,2,23,1,47,NA
7902584,1,3,21,1,47,NA
7902585,1,1,51,1,47,NA
7902585,1,2,26,1,47,1300000
7902586,1,1,64,1,47,NA
7902586,1,2,33,1,47,2000000
7902586,1,3,12,1,47,NA
7902586,1,4,9,1,47,NA
7902589,1,1,36,1,47,NA
7902590,1,1,69,1,47,NA
7902590,1,2,63,1,47,NA
7902590,1,3,44,1,47,1600000
7902590,1,4,21,1,47,NA
7902590,1,5,22,1,47,NA
7902590,1,6,20,1,47,NA
7902591,1,1,38,1,47,4000000
7902591,1,2,21,1,47,NA
7902591,1,3,18,1,47,NA
7902591,1,4,13,1,47,NA
7902592,1,1,42,1,47,2000000
7902592,1,2,44,1,47,NA
7902592,1,3,17,1,47,NA
7902592,1,4,14,1,47,NA
7902593,1,1,44,1,47,2500000
7902593,1,2,38,1,47,3500000
7902593,1,3,11,1,47,NA
7902593,1,4,8,1,47,NA
7902594,1,1,52,1,47,600000
7902594,1,2,20,1,47,NA
7902594,1,3,63,1,47,1300000
7902595,1,1,57,1,47,6259000
7902595,1,2,23,1,47,NA
7902595,1,3,18,1,47,NA
7902597,1,1,31,1,47,4000000
7902597,1,2,23,1,47,NA
7902597,1,3,19,1,47,NA
7902600,1,1,72,1,50,NA
7902603,1,1,65,1,50,300000
7902605,1,1,41,1,50,4800000
7902605,1,2,39,1,50,4000000
7902605,1,3,10,1,50,NA
7902605,1,4,7,1,50,NA
7902606,1,1,56,1,50,1300000
7902606,1,2,59,1,50,NA
7902606,1,3,8,1,50,NA
7902607,1,1,54,1,50,2000000
7902608,1,1,32,1,50,1400000
7902608,1,2,35,1,50,NA
7902608,1,3,6,1,50,NA
7902608,1,4,2,1,50,NA
7902610,1,1,36,1,50,NA
7902610,1,2,62,1,50,2000000
7902610,1,3,24,1,50,1300000
7902611,1,1,39,1,50,5300000
7902611,1,2,30,1,50,NA
7902611,1,3,0,1,50,NA
7902612,1,1,51,1,50,1300000
7902612,1,2,23,1,50,NA
7902613,1,1,58,1,50,1300000
7902613,1,2,21,1,50,NA
7902613,1,3,56,1,50,NA
7902613,1,4,53,1,50,2000000
7902614,1,1,69,1,50,NA
7902614,1,2,71,1,50,NA
7902614,1,3,38,1,50,NA
7902615,1,1,33,1,50,NA
7902615,1,2,34,1,50,4800000
7902615,1,3,7,1,50,NA
7902615,1,4,2,1,50,NA
7902617,1,1,52,1,50,1300000
7902617,1,2,29,1,50,NA
7902618,1,1,28,1,50,1300000
7902618,1,2,31,1,50,NA
7902618,1,3,19,1,50,NA
7902619,1,1,48,1,50,1300000
7902620,1,1,38,1,50,2000000
7902620,1,2,36,1,50,NA
7902622,1,1,36,1,50,1300000
7902622,1,2,30,1,50,1300000
7902622,1,3,20,1,50,NA
7902623,1,1,42,1,50,NA
7902624,1,1,30,1,50,2230000
7902624,1,2,46,1,50,3300000
7902626,1,1,52,1,50,NA
7902626,1,2,48,1,50,1000000
7902626,1,3,23,1,50,1300000
7902627,1,1,65,1,50,NA
7902629,1,1,36,1,50,NA
7902629,1,2,40,1,50,900000
7902630,1,1,41,1,50,120000
7902630,1,2,53,1,50,1000000
7902630,1,3,24,1,50,1120000
7902630,1,4,23,1,50,1200000
7902630,1,5,24,1,50,1260000
7902631,1,1,43,1,50,NA
7902631,1,2,39,1,50,2000000
7902631,1,3,11,1,50,NA
7902632,1,1,34,1,50,300000
7902632,1,2,9,1,50,NA
7902632,1,3,5,1,50,NA
7902632,1,4,37,1,50,1050000
7902632,1,5,31,1,50,1220000
7902632,1,6,8,1,50,NA
7902632,1,7,5,1,50,NA
7902632,1,8,1,1,50,NA
7902632,1,9,1,1,50,NA
7902634,1,1,26,1,50,1900000
7902634,1,2,28,1,50,2280000
7902635,1,1,60,1,50,6000000
7902635,1,2,27,1,50,12000000
7902636,1,1,29,1,50,4000000
7902636,1,2,31,1,50,NA
